name,adm2__id
"Alberni-Clayoquot","1"
"Bulkley-Nechako","2"
"Capital","3"
"Cariboo","4"
"Central Coast","5"
"Central Kootenay","6"
"Central Okanagan","7"
"Columbia-Shuswap","8"
"Comox-Strathcona","9"
"Cowichan Valley","10"
"East Kootenay","11"
"Fraser-Fort George","12"
"Fraser Valley","13"
"Greater Vancouver","14"
"Kitimat-Stikine","15"
"Kootenay Boundary","16"
"Mount Waddington","17"
"Nanaimo","18"
"North Okanagan","19"
"Northern Rockies","20"
"Okanagan-Similkameen","21"
"Peace River","22"
"Powell River","23"
"Skeena-Queen Charlotte","24"
"Squamish-Lillooet","25"
"Stikine","26"
"Sunshine Coast","27"
"Thompson-Nicola","28"